m,l0,phi,eps,is_sat
0.1281407,0.020603014,0.9018562,0.058688484,False
0.13065326,0.020603014,0.9057592,0.060326543,False
0.13316582,0.020603014,0.90957457,0.061972033,False
0.1356784,0.020603014,0.9133058,0.063625745,False
0.13819095,0.020603014,0.91695595,0.06528719,False
0.14070351,0.020603014,0.9205278,0.066956155,False
0.14321607,0.020603014,0.9240243,0.068632334,False
0.14572865,0.020603014,0.9274488,0.07032338,False
0.1482412,0.020603014,0.9308023,0.07201425,False
0.15075377,0.020603014,0.9340871,0.07370435,False
0.15326633,0.020603014,0.9373072,0.07540883,False
0.1557789,0.020603014,0.9404638,0.07712006,False
0.15829146,0.020603014,0.9435591,0.07883771,False
0.16080402,0.020603014,0.9465951,0.08056213,False
0.16331658,0.020603014,0.9495735,0.08229259,False
0.16582914,0.020603014,0.95249623,0.08402939,False
0.16834171,0.020603014,0.95536506,0.08577223,False
0.17085427,0.020603014,0.9581815,0.087521195,False
0.17336683,0.020603014,0.9609471,0.089275844,False
0.17587939,0.020603014,0.96366346,0.09103659,False
0.17839196,0.020603014,0.966332,0.09280286,False
0.18090452,0.020603014,0.9689541,0.09457496,False
0.18341708,0.020603014,0.97153103,0.09635238,False
0.18592964,0.020603014,0.974064,0.098135225,False
0.18844222,0.020603014,0.9765544,0.09992366,False
0.19095477,0.020603014,0.97900325,0.10171724,False
0.19346733,0.020603014,0.9814117,0.10351608,False
0.1959799,0.020603014,0.983781,0.105319984,False
0.19849247,0.020603014,0.98611194,0.10712908,False
0.20100503,0.020603014,0.9884056,0.10894312,False
0.20351759,0.020603014,0.99066305,0.11076207,False
0.20603015,0.020603014,0.99288505,0.1125859,False
0.2085427,0.020603014,0.99507254,0.1144144,False
0.21105528,0.020603014,0.99722654,0.11624789,False
0.21356784,0.020603014,0.99934775,0.11808561,False
0.2160804,0.020603014,1.0014368,0.11992836,False
0.21859296,0.020603014,1.0034947,0.12177553,False
0.22110553,0.020603014,1.0055223,0.12362725,False
0.22361809,0.020603014,1.0075198,0.12548314,False
0.22613065,0.020603014,1.0094885,0.12734352,False
0.22864321,0.020603014,1.0114287,0.1292084,False
0.23115578,0.020603014,1.0133413,0.1310773,False
0.23366834,0.020603014,1.0152266,0.13295071,False
0.2361809,0.020603014,1.0170856,0.13482831,False
0.23869346,0.020603014,1.0189184,0.13670987,False
0.24120602,0.020603014,1.020726,0.13859564,False
0.2437186,0.020603014,1.0225089,0.14048548,False
0.24623115,0.020603014,1.0242673,0.14237937,False
0.24874371,0.020603014,1.0260022,0.14427713,False
0.2512563,0.020603014,1.0277137,0.14617871,False
0.25376883,0.020603014,1.029403,0.14809045,False
0.2562814,0.020603014,1.031069,0.14999841,False
0.25879398,0.020603014,1.0327135,0.1519072,False
0.26130652,0.020603014,1.0343368,0.15382418,False
0.2638191,0.020603014,1.0359391,0.1557451,False
0.26633164,0.020603014,1.0375208,0.15766962,False
0.26884422,0.020603014,1.0390825,0.15959781,False
0.2713568,0.020603014,1.0406243,0.16152976,False
0.27386934,0.020603014,1.0421467,0.1634652,False
0.2763819,0.020603014,1.0436504,0.1654042,False
0.27889448,0.020603014,1.0451353,0.16734698,False
0.28140703,0.020603014,1.0466018,0.16929297,False
0.2839196,0.020603014,1.0480505,0.1712427,False
0.28643215,0.020603014,1.0494816,0.17319587,False
